Product name, Price, Cost, Stock
Espresso, 2.50, 1.00, 100
Latte, 3.50, 1.50, 120
Cappuccino, 3.00, 1.20, 90
Americano, 2.00, 0.80, 110
Mocha, 3.75, 1.75, 130
Macchiato, 3.25, 1.30, 140
Flat White, 3.50, 1.50, 80
Affogato, 4.00, 2.00, 70
Iced Coffee, 3.00, 1.20, 60
Cold Brew, 3.50, 1.50, 150
Hot Chocolate, 3.00, 1.50, 100
Tea, 2.00, 0.80, 90
Chai Latte, 3.25, 1.30, 110
Matcha Latte, 4.00, 2.00, 130
Smoothie, 4.50, 2.50, 140
Lemonade, 2.50, 1.00, 80
Milkshake, 3.75, 1.75, 70
Iced Tea, 2.50, 1.00, 60
Frappuccino, 4.25, 2.20, 150
Cheesecake, 4.50, 2.50, 100
Brownie, 2.75, 1.20, 120
Muffin, 2.50, 1.00, 90
Croissant, 2.00, 0.80, 110
Tiramisu, 5.00, 2.80, 130
Macaron, 1.50, 0.70, 140
Donut, 1.75, 0.90, 80
Cupcake, 3.00, 1.50, 70
Pancake, 3.25, 1.60, 60
Waffle, 3.50, 1.70, 150
Hot Chocolate, 3.00, 1.50, 100
Tea, 2.00, 0.80, 90
Chai Latte, 3.25, 1.30, 110
Matcha Latte, 4.00, 2.00, 130
Smoothie, 4.50, 2.50, 140
Lemonade, 2.50, 1.00, 80
Milkshake, 3.75, 1.75, 70
Iced Tea, 2.50, 1.00, 60
Frappuccino, 4.25, 2.20, 150